מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,251.61,205.48,67.43,2451.8,2435.23
ביצה,2.0,1.0,17.0,13.0,194.0,,,,,
עגלפפון,240.0,8.4,0.0,0.0,36.0,,,,,
יוגור פרו אחוז וחצי,1.0,6.8,21.0,3.0,140.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
פרגית,250.0,0.0,57.5,22.5,437.5,,,,,
חזה עוף,0.0,0.0,0.0,0.0,0.0,,,,,
בצל,150.0,14.01,1.65,0.15,60.0,,,,,
תפוא,210.0,42.0,3.57,0.21,180.6,,,,,
אורז,50.0,39.0,4.4,0.0,175.0,,,,,
כוסמת,50.0,35.2,6.0,1.3,176.5,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
יוגורט פרו מתוק,1.0,11.2,20.0,0.0,130.0,,,,,
קוואקר,40.0,27.6,4.4,3.2,149.6,,,,,
דבש,10.0,8.0,0.0,0.0,32.0,,,,,
יוגורט פרו מתוק,,0.0,0.0,0.0,0.0,,,,,
נודלס חיטה,,0.0,0.0,0.0,0.0,,,,,
פרגית,,0.0,0.0,0.0,0.0,,,,,
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
עגלפפון,100.0,3.5,0.0,0.0,15.0,,,,,
פסטרמה,4.0,4.4,14.4,2.8,96.0,,,,,
אבקה,1.0,2.0,24.0,1.0,110.0,,,,,
אצבעות מוצרלה,,0.0,0.0,0.0,0.0,,,,,
