מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,293.72,191.26,67.16,2559.16,2544.36
ביצה,2,1.0,17.0,13.0,194.0,,,,,
עגלפפון,210,7.35,0.0,0.0,31.5,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
שמן זית,10,0.0,0.0,9.2,83.0,,,,,
חזה עוף,200,0.0,50.0,5.0,240.0,,,,,
בצל,150,14.01,1.65,0.15,60.0,,,,,
תפוא,150,30.0,2.55,0.15,129.0,,,,,
אורז,50,39.0,4.4,0.0,175.0,,,,,
כוסמת,50,35.2,6.0,1.3,176.5,,,,,
שמן זית,5,0.0,0.0,4.6,41.5,,,,,
חטיף חלבון מקסברנר,1,17.0,21.0,14.0,276.0,,,,,
קוואקר,54,37.26,5.94,4.32,201.96,,,,,
דבש,10,8.0,0.0,0.0,32.0,,,,,
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
שמן זית,5,0.0,0.0,4.6,41.5,,,,,
עגלפפון,100,3.5,0.0,0.0,15.0,,,,,
פסטרמה,4,4.4,14.4,2.8,96.0,,,,,
אצבעות מוצרלה,1,0.0,5.2,4.3,59.0,,,,,
