מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
יוגורט פרו זירו,1.0,6.7,21,0,116,411.624,193.232,54.706,2956.33,2911.778
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,,,,,
עגלפפון,200.0,7,0,0,30,,,,,
עוגית חלבון,0.0,0,0,0,0,,,,,
ביצה,2.0,1,17,13,194,,,,,
שמן זית,7.0,0,0,6.44,58.1,,,,,
שמן זית,5.0,0,0,4.6,41.5,,,,,
בצל,200.0,18.68,2.2,0.2,80,,,,,
תפוא,256.0,51.2,4.352,0.256,220.16,,,,,
חזה עוף,160.0,0,40,4,192,,,,,
כוסמת,45.0,31.68,5.4,1.17,158.85,,,,,
אורז,45.0,35.1,3.96,0,157.5,,,,,
גרנולה שוקולד ,40.0,25.2,3.6,6,174,,,,,
דבש,5.0,4,0,0,16,,,,,
דבש,0.0,0,0,0,0,,,,,
בננה,96.0,22.464,0.96,0.48,88.32,,,,,
יוגורט פרו מתוק,1.0,11.2,20,0,130,,,,,
חטיף חלבון פיסטוק,0.0,0,0,0,0,,,,,
עגלפפון,100.0,3.5,0,0,15,,,,,
יוגורט פרו זירו,1.0,6.7,21,0,116,,,,,
גיינר,150.0,108,24,6,595.5,,,,,
אצבעות מוצרלה,2.0,0,10.4,8.6,118,,,,,
פיתות כוסמין מלא,110.0,37.4,8.8,2.09,217.8,,,,,
פסטרמה,0.0,0,0,0,0,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
