מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,297.419,175.535,75.845,2605.2,2574.421
ביצה,2,1.0,17.0,13.0,194.0,,,,,
עגלפפון,230,8.05,0.0,0.0,34.5,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
שמן זית,5,0.0,0.0,4.6,41.5,,,,,
פרגית,230,0.0,52.9,20.7,402.5,,,,,
בצל,135,12.609,1.485,0.135,54.0,,,,,
תפוא,230,46.0,3.91,0.23,197.8,,,,,
אורז,40,31.2,3.52,0.0,140.0,,,,,
כוסמת,40,28.16,4.8,1.04,141.2,,,,,
שמן זית,10,0.0,0.0,9.2,83.0,,,,,
חטיף נטור ואלי,1,27.0,3.7,7.5,195.0,,,,,
קוואקר,50,34.5,5.5,4.0,187.0,,,,,
דבש,5,4.0,0.0,0.0,16.0,,,,,
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
שמן זית,5,0.0,0.0,4.6,41.5,,,,,
עגלפפון,100,3.5,0.0,0.0,15.0,,,,,
פסטרמה,4,4.4,14.4,2.8,96.0,,,,,
אצבעות מוצרלה,1,0.0,5.2,4.3,59.0,,,,,
