מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,49.5,48.56,21.31,605.7,584.03
ביצה,2,1.0,17.0,13.0,194.0,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
שמן זית,7,0.0,0.0,6.44,58.1,,,,,
_,5,0.0,0.0,0.0,0.0,,,,,
_,300,0.0,0.0,0.0,0.0,,,,,
_,30,0.0,0.0,0.0,0.0,,,,,
_,190,0.0,0.0,0.0,0.0,,,,,
_,100,0.0,0.0,0.0,0.0,,,,,
_,50,0.0,0.0,0.0,0.0,,,,,
_,5,0.0,0.0,0.0,0.0,,,,,
_,1,0.0,0.0,0.0,0.0,,,,,
_,1,0.0,0.0,0.0,0.0,,,,,
_,1,0.0,0.0,0.0,0.0,,,,,
_,10,0.0,0.0,0.0,0.0,,,,,
_,0,0.0,0.0,0.0,0.0,,,,,
