מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,304.316,205.907,66.441,2666.06,2638.861
ביצה,2.0,1.0,17.0,13.0,194.0,,,,,
עגלפפון,150.0,5.25,0.0,0.0,22.5,,,,,
יוגור פרו אחוז וחצי,1.0,6.8,21.0,3.0,140.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
פרגית,200.0,0.0,46.0,18.0,350.0,,,,,
חזה עוף,,0.0,0.0,0.0,0.0,,,,,
בצל,140.0,13.076,1.54,0.14,56.0,,,,,
תפוא,181.0,36.2,3.077,0.181,155.66,,,,,
אורז,60.0,46.8,5.28,0.0,210.0,,,,,
כוסמת,60.0,42.24,7.2,1.56,211.8,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
יוגורט פרו מתוק,1.0,11.2,20.0,0.0,130.0,,,,,
קוואקר,55.0,37.95,6.05,4.4,205.7,,,,,
דבש,10.0,8.0,0.0,0.0,32.0,,,,,
יוגורט פרו מתוק,,0.0,0.0,0.0,0.0,,,,,
נודלס חיטה,,0.0,0.0,0.0,0.0,,,,,
פיתות כוסמין מלא,110.0,37.4,8.8,2.09,217.8,,,,,
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
עגלפפון,100.0,3.5,0.0,0.0,15.0,,,,,
פסטרמה,4.0,4.4,14.4,2.8,96.0,,,,,
אבקה,1.0,2.0,24.0,1.0,110.0,,,,,
אצבעות מוצרלה,,0.0,0.0,0.0,0.0,,,,,
