מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
לחם שחור משרד,156.0,64.116,9.36,1.248,322.92,322.446,191.742,56.022,2588.18,2560.95
טונה,84.0,0.0,20.832,0.504,87.36,,,,,
עגלפפון,150.0,5.25,0.0,0.0,22.5,,,,,
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
פרגית,230.0,0.0,52.9,20.7,402.5,,,,,
חזה עוף,,0.0,0.0,0.0,0.0,,,,,
בצל,100.0,9.34,1.1,0.1,40.0,,,,,
תפוא,290.0,58.0,4.93,0.29,249.4,,,,,
אורז,60.0,46.8,5.28,0.0,210.0,,,,,
כוסמת,60.0,42.24,7.2,1.56,211.8,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
יוגורט פרו מתוק,0.0,0.0,0.0,0.0,0.0,,,,,
קוואקר,50.0,34.5,5.5,4.0,187.0,,,,,
דבש,10.0,8.0,0.0,0.0,32.0,,,,,
יוגורט פרו מתוק,1.0,11.2,20.0,0.0,130.0,,,,,
נודלס חיטה,,0.0,0.0,0.0,0.0,,,,,
תפוא,120.0,24.0,2.04,0.12,103.2,,,,,
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,,,,,
מנה חמה בקר,0.0,0.0,0.0,0.0,0.0,,,,,
עגלפפון,100.0,3.5,0.0,0.0,15.0,,,,,
פסטרמה,1.0,1.1,3.6,0.7,24.0,,,,,
ביצה,2.0,1.0,17.0,13.0,194.0,,,,,
אצבעות מוצרלה,0.0,0.0,0.0,0.0,0.0,,,,,
