מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,289.544,196.21,65.775,2507.1,2534.991
ביצה,2.0,1.0,17.0,13.0,194.0,,,,,
עגלפפון,240.0,8.4,0.0,0.0,36.0,,,,,
יוגור פרו אחוז וחצי,1.0,6.8,21.0,3.0,140.0,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
פרגית,,0.0,0.0,0.0,0.0,,,,,
חזה עוף,205.0,0.0,51.25,5.125,246.0,,,,,
בצל,160.0,14.944,1.76,0.16,64.0,,,,,
תפוא,220.0,44.0,3.74,0.22,189.2,,,,,
אורז,100.0,78.0,8.8,0.0,350.0,,,,,
כוסמת,0.0,0.0,0.0,0.0,0.0,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
יוגורט פרו מתוק,0.0,0.0,0.0,0.0,0.0,,,,,
קוואקר,70.0,48.3,7.7,5.6,261.8,,,,,
חטיף חלבון פיסטוק,1.0,21.7,15.0,10.0,212.0,,,,,
אצבעות מוצרלה,0.0,0.0,0.0,0.0,0.0,,,,,
פיתות כוסמין אנג'ל,0.0,0.0,0.0,0.0,0.0,,,,,
דבש,10.0,8.0,0.0,0.0,32.0,,,,,
פיתות כוסמין אנג'ל,,0.0,0.0,0.0,0.0,,,,,
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
עגלפפון,100.0,3.5,0.0,0.0,15.0,,,,,
פסטרמה,4.0,4.4,14.4,2.8,96.0,,,,,
אבקה,1.0,2.0,24.0,1.0,110.0,,,,,
פיתות כוסמין אנג'ל,110.0,,,,,,,,,
