מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
לחם מלא,120,49.2,15.6,3.6,296.4,273.992,189.795,72.935,2497.9,2511.563
ביצה,2,1.0,17.0,13.0,194.0,,,,,
עגלפפון,200,7.0,0.0,0.0,30.0,,,,,
שמן זית,10,0.0,0.0,9.2,83.0,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
זית,6,0.0,0.0,3.0,22.5,,,,,
תפוא,415,83.0,7.055,0.415,356.9,,,,,
חזה עוף,240,0.0,60.0,6.0,288.0,,,,,
שמן זית,10,0.0,0.0,9.2,83.0,,,,,
בצל,180,16.812,1.98,0.18,72.0,,,,,
כוסמת,20,14.08,2.4,0.52,70.6,,,,,
תערובת ירוקים,100,5.0,4.0,0.8,50.0,,,,,
אולין בוטנים קרמל,1,19.1,20.0,10.9,234.0,,,,,
קוואקר,50,34.5,5.5,4.0,187.0,,,,,
סילאן,10,7.6,0.0,0.0,30.4,,,,,
פיתות כוסמין אנג'ל,60,22.8,5.76,1.02,129.6,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
שמן זית,5,0.0,0.0,4.6,41.5,,,,,
ביצה,1,0.5,8.5,6.5,97.0,,,,,
