מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
ביצה,2.0,1.0,17.0,13.0,194.0,372.61,224.07,82.09,3108.2,3125.53
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,,,,,
עגלפפון,180.0,6.3,0.0,0.0,27.0,,,,,
יוגור פרו אחוז וחצי,1.0,6.8,21.0,3.0,140.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
פרגית,100.0,0.0,23.0,9.0,175.0,,,,,
בצל,150.0,14.01,1.65,0.15,60.0,,,,,
תפוא,200.0,40.0,3.4,0.2,172.0,,,,,
חזה עוף,170.0,0.0,42.5,4.25,204.0,,,,,
כוסמת,50.0,35.2,6.0,1.3,176.5,,,,,
אורז,50.0,39.0,4.4,0.0,175.0,,,,,
קוואקר,50.0,34.5,5.5,4.0,187.0,,,,,
קוטג 5,0.0,0.0,0.0,0.0,0.0,,,,,
חטיף חלבון פיסטוק,1.0,21.7,15.0,10.0,212.0,,,,,
דבש,10.0,8.0,0.0,0.0,32.0,,,,,
קוואקר,0.0,0.0,0.0,0.0,0.0,,,,,
עוגית חלבון,0.5,11.5,7.5,4.45,106.0,,,,,
עגלפפון,0.0,0.0,0.0,0.0,0.0,,,,,
חזה עוף,180.0,0.0,45.0,4.5,216.0,,,,,
פסטה אוסם,100.0,71.0,11.0,1.5,349.0,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,,,,,
_,,,,,,,,,,
