מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,294.09,205.22,63.095,2584.3,2565.095
ביצה,2.0,1.0,17.0,13.0,194.0,,,,,
עגלפפון,230.0,8.05,0.0,0.0,34.5,,,,,
יוגור פרו אחוז וחצי,1.0,6.8,21.0,3.0,140.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
פרגית,110.0,0.0,25.3,9.9,192.5,,,,,
חזה עוף,165.0,0.0,41.25,4.125,198.0,,,,,
בצל,200.0,18.68,2.2,0.2,80.0,,,,,
תפוא,290.0,58.0,4.93,0.29,249.4,,,,,
אורז,40.0,31.2,3.52,0.0,140.0,,,,,
כוסמת,40.0,28.16,4.8,1.04,141.2,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
יוגורט פרו מתוק,1.0,11.2,20.0,0.0,130.0,,,,,
קוואקר,0.0,0.0,0.0,0.0,0.0,,,,,
דבש,0.0,0.0,0.0,0.0,0.0,,,,,
קוואקר,50.0,34.5,5.5,4.0,187.0,,,,,
דבש,5.0,4.0,0.0,0.0,16.0,,,,,
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,,,,,
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,,,,,
שמן זית,0.0,0.0,0.0,0.0,0.0,,,,,
עגלפפון,,0.0,0.0,0.0,0.0,,,,,
פסטרמה,2.0,2.2,7.2,1.4,48.0,,,,,
אבקה,,0.0,0.0,0.0,0.0,,,,,
אצבעות מוצרלה,2.0,0.0,10.4,8.6,118.0,,,,,
