מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
ביצה,2,1.0,17.0,13.0,194.0,177.31,183.56,100.45,2365.5,2347.53
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,,,,,
יוגור פרו אחוז וחצי,1,6.8,21.0,3.0,140.0,,,,,
עגלפפון,230,8.05,0.0,0.0,34.5,,,,,
שמן זית,5,0.0,0.0,4.6,41.5,,,,,
תפוא,300,60.0,5.1,0.3,258.0,,,,,
כוסמת,30,21.12,3.6,0.78,105.9,,,,,
חזה עוף,190,0.0,47.5,4.75,228.0,,,,,
בצל,100,9.34,1.1,0.1,40.0,,,,,
גמבה,50,3.0,0.5,0.15,15.5,,,,,
שמן זית,5,0.0,0.0,4.6,41.5,,,,,
כדור תמרים,1,15.0,3.0,3.0,100.0,,,,,
יוגורט פרו מתוק,1,11.2,20.0,0.0,130.0,,,,,
אצבעות מוצרלה,1,0.0,5.2,4.3,59.0,,,,,
אצבעות עמק,10,0.0,49.0,60.0,740.0,,,,,
_,0,0.0,0.0,0.0,0.0,,,,,
