מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
ביצה,2.0,1.0,17.0,13.0,194.0,349.006,199.001,56.84,2707.76,2703.588
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,,,,,
עגלפפון,180.0,6.3,0.0,0.0,27.0,,,,,
יוגור פרו אחוז וחצי,1.0,6.8,21.0,3.0,140.0,,,,,
עוגית חלבון,0.0,0.0,0.0,0.0,0.0,,,,,
שמן זית,15.0,0.0,0.0,13.8,124.5,,,,,
גזר,0.0,0.0,0.0,0.0,0.0,,,,,
בצל,,0.0,0.0,0.0,0.0,,,,,
תפוא,295.0,59.0,5.015,0.295,253.7,,,,,
חזה עוף,205.0,0.0,51.25,5.125,246.0,,,,,
בטטה,336.0,67.536,5.376,0.0,288.96,,,,,
קישוא,,0.0,0.0,0.0,0.0,,,,,
כוסמת,30.0,21.12,3.6,0.78,105.9,,,,,
אורז,30.0,23.4,2.64,0.0,105.0,,,,,
יוגורט פרו מתוק,1.0,11.2,20.0,0.0,130.0,,,,,
דבש,10.0,8.0,0.0,0.0,32.0,,,,,
קוואקר,50.0,34.5,5.5,4.0,187.0,,,,,
פיתות כוסמין אנג'ל,,0.0,0.0,0.0,0.0,,,,,
תפוא,,0.0,0.0,0.0,0.0,,,,,
חטיף חלבון פיסטוק,0.5,10.85,7.5,5.0,106.0,,,,,
עגלפפון,100.0,3.5,0.0,0.0,15.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
פסטרמה,5.0,5.5,18.0,3.5,120.0,,,,,
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,,,,,
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,,,,,
אצבעות מוצרלה,,,,,,,,,,
