מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,242.57,201.16,43.19,2210.35,2163.63
ביצה,2,1.0,17.0,13.0,194.0,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
שמן זית,7,0.0,0.0,6.44,58.1,,,,,
עגלפפון,270,9.45,0.0,0.0,40.5,,,,,
כוסמת,125,88.0,15.0,3.25,441.25,,,,,
קטניות,60,9.72,5.64,0.54,79.8,,,,,
תערובת ירוקים,40,2.0,1.6,0.32,20.0,,,,,
חזה עוף,220,0.0,55.0,5.5,264.0,,,,,
שמן זית,5,0.0,0.0,4.6,41.5,,,,,
סילאן,5,3.8,0.0,0.0,15.2,,,,,
יוגורט פרו מתוק,1,11.2,20.0,0.0,130.0,,,,,
קוואקר,20,13.8,2.2,1.6,74.8,,,,,
יוגורט פרו זירו,1,6.7,21.0,0.0,116.0,,,,,
פיתות כוסמין אנג'ל,110,41.8,10.56,1.87,237.6,,,,,
אבקה,0,0.0,0.0,0.0,0.0,,,,,
פסטרמה,6,6.6,21.6,4.2,144.0,,,,,
