מאכל,יחידות,פחמימה,חלבון,שומן,קלוריות,סהכ פחמימה,סהכ חלבון,סהכ שומן,סהכ קלוריות,ולידציה
פיתות כוסמין אנג'ל,110.0,41.8,10.56,1.87,237.6,296.968,201.0,63.37,2537.6,2562.202
ביצה,2.0,1.0,17.0,13.0,194.0,,,,,
עגלפפון,190.0,6.65,0.0,0.0,28.5,,,,,
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
פרגית,,0.0,0.0,0.0,0.0,,,,,
חזה עוף,200.0,0.0,50.0,5.0,240.0,,,,,
בצל,170.0,15.878,1.87,0.17,68.0,,,,,
תפוא,270.0,54.0,4.59,0.27,232.2,,,,,
אורז,60.0,46.8,5.28,0.0,210.0,,,,,
כוסמת,60.0,42.24,7.2,1.56,211.8,,,,,
שמן זית,10.0,0.0,0.0,9.2,83.0,,,,,
חטיף חלבון פיסטוק,1.0,21.7,15.0,10.0,212.0,,,,,
קוואקר,50.0,34.5,5.5,4.0,187.0,,,,,
דבש,10.0,8.0,0.0,0.0,32.0,,,,,
יוגורט פרו מתוק,0.0,0.0,0.0,0.0,0.0,,,,,
נודלס חיטה,0.0,0.0,0.0,0.0,0.0,,,,,
פרגית,0.0,0.0,0.0,0.0,0.0,,,,,
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,,,,,
שמן זית,5.0,0.0,0.0,4.6,41.5,,,,,
עגלפפון,100.0,3.5,0.0,0.0,15.0,,,,,
פסטרמה,5.0,5.5,18.0,3.5,120.0,,,,,
אבקה,1.0,2.0,24.0,1.0,110.0,,,,,
אצבעות מוצרלה,,0.0,0.0,0.0,0.0,,,,,
